CTUID,CTNAME,PRUID,PRNAME,CMAUID,CMAPUID,CMANAME,CMATYPE,LANDMIX,VC_EMPDEN,VC_POPDEN,AVGDA,SMLDA,POPDEN,EMPDEN,INTERDEN,PERC4INTER,SPRAWL
5390209.03,209.03,35,Ontario,539,35539,St. Catharines - Niagara,B,0.614582984,NA,0.489933321,0.110301778,10.63637668,4810.439246,2212.113034,73.43489991,11.11111111,-0.08346
4620247,247,24,Quebec / Québec,462,24462,Montréal,B,0.256940163,0.194574068,0.163798929,0.015359701,100,29154.21292,18229.52126,91.14760629,100,1.256
5390209.04,209.04,35,Ontario,539,35539,St. Catharines - Niagara,B,0.603624959,0.592537006,0.548797348,0.231443412,0,3790.343359,1755.288674,76.69261285,19.71830986,-0.1984
4620265,265,24,Quebec / Québec,462,24462,Montréal,B,0.273719675,0.261683186,0.233026123,0.024019348,100,23756.88937,13088.40674,161.3282739,80.64516129,1.025
4620266,266,24,Quebec / Québec,462,24462,Montréal,B,0.762314789,0.531642861,0.506497949,0.059911138,28.09418941,11206.59733,5892.059665,120.1779875,36.11111111,0.4516
4620267,267,24,Quebec / Québec,462,24462,Montréal,B,0.551984418,0.509479303,0.505076247,0.040703341,54.06468376,14146.70561,6510.522081,142.9411366,54.6875,0.5568
5350128.04,128.04,35,Ontario,535,35535,Toronto,B,0.091576165,0.366824827,0.2852067,0.021860089,100,71637.40207,43610.67899,30.49697832,50,2.056
4620269,269,24,Quebec / Québec,462,24462,Montréal,B,0.455971651,0.566498254,0.530386325,0.043840226,55.59783465,13480.76982,5979.505103,136.8606073,50,0.5102
4620270,270,24,Quebec / Québec,462,24462,Montréal,B,0.452179063,0.378242445,0.401457941,0.038566414,62.97484203,16776.25507,8797.440007,151.8715959,53.65853659,0.7222
4620271,271,24,Quebec / Québec,462,24462,Montréal,B,0.311427877,0.411414509,0.318919696,0.031677251,100,18172.87302,10154.50056,136.7963806,61.53846154,0.8205
4620272,272,24,Quebec / Québec,462,24462,Montréal,B,0.366291589,0.338161292,0.411120165,0.033423236,71.03820298,18928.94734,9624.043299,154.5830789,32.25806452,0.7954
4620273,273,24,Quebec / Québec,462,24462,Montréal,B,0.491191556,0.267213054,0.333721618,0.028292698,100,20592.76887,8725.74952,110.4525256,68,0.8035
4620274,274,24,Quebec / Québec,462,24462,Montréal,B,0.553248315,0.345769536,0.374464163,0.031755753,56.58037222,15818.65594,6770.426729,125.9614275,45.83333333,0.6127
4620275,275,24,Quebec / Québec,462,24462,Montréal,B,0.424864758,0.451122427,0.297708605,0.035249666,67.64558027,16255.47338,7740.701611,210.7416145,59.61538462,0.6804
4620276,276,24,Quebec / Québec,462,24462,Montréal,B,0.387124426,0.399445437,0.4323052,0.03915453,63.17020399,14506.62293,6895.753856,207.1563916,56.16438356,0.6017
4620277,277,24,Quebec / Québec,462,24462,Montréal,B,0.431786392,0.570252779,0.496002821,0.027793884,75.29746761,19833.50037,7870.436654,242.8591882,53.7037037,0.7543
4620370,370,24,Quebec / Québec,462,24462,Montréal,B,0.185927054,0.411930277,0.419821715,0.054945462,32.98990059,9762.127628,4920.963518,183.3986404,38.16793893,0.3781
4620249,249,24,Quebec / Québec,462,24462,Montréal,B,0.326277544,0.346844186,0.344307009,0.026348057,100,19897.10265,9630.69108,194.5114947,82.92682927,0.8534
4620250,250,24,Quebec / Québec,462,24462,Montréal,B,0.208587752,0.31096447,0.218447817,0.025466888,100,22729.79496,11780.00233,224.3809967,77.5,0.9721
5390209.05,209.05,35,Ontario,539,35539,St. Catharines - Niagara,B,0.460409804,0.432124497,0.35430055,0.126200533,7.965410247,5631.249337,2975.863471,88.92373093,15.84158416,0.03269
4620252,252,24,Quebec / Québec,462,24462,Montréal,B,0.036996874,0.245117173,0.183169672,0.01617336,100,40637.81422,18046.652,208.6764899,55.55555556,1.373
4620253,253,24,Quebec / Québec,462,24462,Montréal,B,0.431758668,0.634968298,0.711852573,0.036436049,67.59478068,18860.44239,8096.377338,241.5190528,47.72727273,0.7368
4620254,254,24,Quebec / Québec,462,24462,Montréal,B,0.471553518,0.363747538,0.380854903,0.040679142,51.52302564,16671.11515,7845.953678,245.8262249,70,0.6967
5390209.06,209.06,35,Ontario,539,35539,St. Catharines - Niagara,B,0.338870564,0.344371436,0.37688894,0.235345653,0,4210.827729,2025.389725,75.06689191,22.64150943,-0.1411
4620256,256,24,Quebec / Québec,462,24462,Montréal,B,0.645447948,0.656266955,0.669093953,0.104661089,19.32275553,5148.591019,2054.249598,88.72174343,30.76923077,-0.03697
4620257,257,24,Quebec / Québec,462,24462,Montréal,B,0.6859577,0.650382008,0.619439499,0.066087087,20.17595338,8549.325254,3423.512989,88.89785109,36.17021277,0.2095
4620258,258,24,Quebec / Québec,462,24462,Montréal,B,0.258506786,0.375681279,0.398581908,0.019663176,100,32815.14658,10648.07643,203.4259377,53.125,1.059
