GEOUID,PROV,EMP15
10070514,10,240
10070515,10,160
10070516,10,170
10070517,10,145
10070518,10,90
10070519,10,280
10070520,10,120
10070521,10,215
10070522,10,140
10070523,10,75
10070524,10,100
10070525,10,140
10070526,10,75
10070527,10,20
10070530,10,235
10070531,10,130
10070532,10,165
10070533,10,125
10070534,10,200
10070535,10,250
10070536,10,170
10070537,10,115
10070538,10,20
10070539,10,55
10070540,10,165
10070541,10,75
10070542,10,90
10070543,10,125
10070544,10,45
10070545,10,170
10070546,10,135
10070547,10,155
10070548,10,215
10070549,10,110
10070550,10,120
10070551,10,230
10070552,10,145
10070553,10,270
10070554,10,205
10070555,10,130
10070556,10,185
10070557,10,170
10070558,10,250
10070559,10,265
10070560,10,425
10070561,10,385
10070562,10,240
10070563,10,270
10070565,10,225
10070566,10,145
1008,10,12195
10080161,10,70
10080162,10,90
10080163,10,170
10080164,10,245
10080165,10,180
10080166,10,200
10080167,10,90
10080168,10,55
10080169,10,95
10080170,10,200
10080171,10,160
10080172,10,180
10080173,10,35
10080174,10,135
10080175,10,260
10080176,10,205
10080177,10,75
10080178,10,145
10080179,10,30
10080180,10,100
10080181,10,80
10080182,10,90
10080183,10,150
10080184,10,175
10080185,10,95
10080186,10,225
10080187,10,115
10080188,10,125
10080189,10,215
10080190,10,105
10080191,10,210
10080192,10,155
10080193,10,180
10080194,10,155
10080195,10,145
10080196,10,180
10080197,10,190
10080198,10,75
10080199,10,105
10080200,10,90
10080201,10,25
10080202,10,260
10080204,10,155
10080205,10,30
10080207,10,170
10080208,10,220
10080209,10,125
10080211,10,0
10080212,10,15
10080213,10,260
10080214,10,435
10080215,10,165
10080216,10,350
10080217,10,120
10080218,10,85
10080219,10,225
10080220,10,195
10080221,10,135
10080222,10,40
10080224,10,115
10080225,10,130
10080226,10,50
10080227,10,35
10080228,10,85
10080229,10,65
10080230,10,40
10080231,10,70
10080232,10,255
10080233,10,200
10080234,10,150
10080235,10,60
10080236,10,75
10080237,10,100
10080238,10,240
10080239,10,45
10080240,10,70
10080241,10,90
10080242,10,25
10080243,10,65
10080244,10,190
10080245,10,105
10080246,10,155
10080247,10,200
10080248,10,80
10080249,10,130
10080250,10,75
10080251,10,110
10080252,10,85
10080253,10,140
10080254,10,125
10080255,10,55
10080256,10,205
1009,10,5500
10090078,10,150
10090079,10,20
10090080,10,0
10090081,10,60
10090082,10,100
10090084,10,385
10090085,10,585
10090086,10,140
10090087,10,80
10090088,10,50
10090089,10,145
10090090,10,205
10090091,10,110
10090092,10,115
10090093,10,100
10090094,10,130
10090095,10,230
10090096,10,95
10090097,10,140
10090099,10,45
10090100,10,110
10090101,10,135
10090102,10,135
10090103,10,165
10090104,10,105
10090105,10,0
10090106,10,25
10090107,10,165
10090108,10,170
10090109,10,95
10090110,10,20
10090111,10,230
10090112,10,0
10090113,10,125
10090114,10,135
10090116,10,120
10090117,10,95
10090118,10,15
10090119,10,185
10090120,10,160
10090122,10,200
10090123,10,105
10090124,10,55
10090125,10,40
1010,10,11965
10100062,10,305
10100065,10,255
10100066,10,190
10100067,10,555
10100068,10,290
10100069,10,300
10100070,10,365
10100071,10,320
10100072,10,205
10100073,10,245
10100074,10,220
10100075,10,210
10100076,10,205
10100077,10,165
10100078,10,215
10100079,10,240
10100080,10,275
10100081,10,310
10100082,10,440
10100083,10,220
10100084,10,300
10100085,10,255
10100086,10,200
10100087,10,395
10100088,10,195
10100089,10,280
10100090,10,130
10100091,10,310
10100092,10,245
10100093,10,385
10100094,10,435
10100095,10,260
10100096,10,380
10100097,10,320
10100098,10,200
10100099,10,330
10100100,10,280
10100101,10,255
10100102,10,70
10100103,10,95
10100104,10,50
10100105,10,60
10100106,10,135
10100107,10,130
10100108,10,0
10100109,10,185
10100110,10,175
10100111,10,55
10100112,10,20
10100113,10,35
10100114,10,90
10100115,10,135
10100116,10,15
1011,10,845
10110002,10,260
10110003,10,115
10110004,10,180
10110006,10,125
10110007,10,70
10110008,10,95
1101,11,8300
11010040,11,170
11010041,11,205
11010042,11,225
11010043,11,185
11010044,11,235
11010045,11,230
11010046,11,180
11010047,11,210
11010048,11,165
11010049,11,155
11010050,11,305
11010051,11,150
11010052,11,255
11010053,11,220
11010054,11,105
11010055,11,80
11010056,11,175
11010057,11,300
11010058,11,215
11010059,11,145
11010060,11,145
11010061,11,180
11010062,11,215
11010063,11,205
11010064,11,275
11010065,11,300
11010066,11,75
11010067,11,205
11010068,11,75
11010069,11,245
11010070,11,135
11010071,11,275
11010072,11,265
11010073,11,70
11010074,11,190
11010075,11,280
11010077,11,175
11010078,11,220
