CTUID,PROV,Employed 
4620491,24,1200
4620500,24,480
4620511.01,24,1665
4620511.02,24,2620
4620512.02,24,2095
4620512.03,24,1205
4620512.04,24,3130
4620513.01,24,2420
4620513.02,24,1655
4620514.01,24,3420
4620514.02,24,3420
4620515.01,24,2765
4620515.02,24,2390
4620515.03,24,1800
4620515.04,24,2080
4620520.02,24,3185
4620520.03,24,1955
4620520.04,24,2140
4620521.01,24,2400
4620521.04,24,2555
4620521.05,24,2470
4620521.06,24,2640
4620521.07,24,2225
4620522.01,24,1825
4620522.02,24,1965
4620523,24,1095
4620530,24,3060
4620540,24,1670
4620550.02,24,1570
4620550.03,24,3680
4620550.04,24,2945
4620570,24,1655
4620580.01,24,2060
4620580.02,24,1860
4620580.03,24,2240
4620581.01,24,2785
4620581.02,24,1720
4620582.01,24,3055
4620582.02,24,2850
4620583,24,1610
4620584,24,2970
4620585.01,24,1130
4620585.02,24,1665
4620590.01,24,2390
4620590.02,24,1290
4620591.01,24,1315
