,COVs_POP,COVs_EMP,empdense_CT11,CTUID
213,0.431564623,0.44703531,2681.508824,2602
214,0.566945754,0.756599701,4106.598479,1661
215,0.176847199,0.191175033,13039.51198,2017
216,0.6524123,0.663069433,1737.256839,3710
217,0.512117195,0.532650421,762.5083013,3635
218,0.283786729,0.353559678,4305.531899,2470
219,0.503333975,0.452747248,6502.822116,322
220,0.602209682,0.631004486,6314.574037,311
221,0.269711805,0.276420357,2736.352442,537
222,0.741845347,NA,146.1196099,5287
223,0.445835326,0.534972919,1417.021348,3456
224,0.116046682,0.229139378,4535.189027,1085
225,1.29779774,1.371132303,7317.388703,3065
226,1.108367084,1.067258831,972.3684333,312
227,0.896356541,0.84081244,272.4743187,4765
228,0.273015855,0.353701054,5828.42812,4235
229,0.363672582,0.481410734,3459.299452,1202
230,0.394130275,0.433576741,5250.788961,923
231,1.221762839,1.060114139,140.9739262,3301
232,0.381825244,0.477060334,2052.050899,3706
233,0.818988176,0.888445408,4249.735939,1097
234,0.341473866,0.393275289,2910.458951,5430
235,0.286417814,0.385309646,3159.694762,1277
236,0.751856207,0.557702699,6555.24066,2444
237,0.229192236,0.157502317,31.77144626,3785
238,0.330889667,0.423714336,3623.640079,4354
239,0.579242955,0.683687308,354.188609,230
240,0.363137688,0.356874306,9806.938931,1114
241,0.358785266,0.374077818,32.41916637,3695
242,0.227091029,0.258080206,4862.86028,5212
243,0.267245744,0.271459788,7615.037459,2507
244,0.181116005,0.316085563,5259.661706,5041
245,0.922302039,NA,481.3579346,5251
246,1.220186831,NA,28.9925818,4836
247,0.225195474,0.38512139,3902.267705,3235
248,0.23010633,0.44496619,3810.308327,5042
249,0.247903303,0.277266987,7518.796992,2593
250,0.375255655,0.440566898,1752.368743,3204
251,1.298056229,1.312052322,37.12006177,197
252,0.638410846,0.674049961,4427.667522,5122
253,0.487834022,0.512948728,3702.126112,1579
254,0.835870023,0.784067032,998.4657334,1791
255,1.006309462,1.125843676,252.4466395,3403
256,0.502417182,0.714451312,1602.201809,1918
257,0.705908478,0.700753201,43.42749462,3331
258,0.563545241,0.670800704,11731.82642,1614
259,0.349243186,0.339803685,5189.573055,1019
260,0.551403213,0.631871453,1470.347296,2746
261,0.605497294,0.621716095,451.320726,1362
262,0.171698151,0.467176916,3964.802026,3672
263,0.279546506,0.314903707,10106.7973,975
264,0.672081278,0.569591747,1776.56708,1501
265,1.151617374,NA,252.2885801,5011
266,0.788802142,0.866503242,6659.983796,630
267,NA,NA,49560.37804,2127
268,0.424067786,0.424325843,2050.801038,3298
269,0.41326888,0.357703732,2103.977381,3309
270,0.582690933,0.592683169,2196.865368,4685
271,0.570298763,0.702556405,2705.444707,404
272,0.070882391,0.057663206,51738.7835,2142
273,0.376529829,0.38895087,6448.805398,918
274,0.413590039,0.404054067,3359.483386,1797
275,0.539406635,0.543619029,658.3752064,4686
276,0.295047016,0.26604519,3330.626887,5157
277,0.77396512,0.813152366,149.4246241,354
278,0.502560964,0.553486086,6431.359475,837
279,0.51968228,0.55392016,3278.181827,3017
280,0.655190874,0.737021807,904.6478881,147
281,0.389976518,0.398061093,25211.13747,4348
282,0.28834706,0.372999108,8707.885013,3908
283,0.202143551,0.239185874,2696.275709,1335
284,1.293247095,1.322351093,454.3040801,1348
285,0.362770465,0.269670119,3770.022201,395
286,0.588776503,0.60848329,3467.562333,1398
287,0.370909782,0.399184697,4220.632281,83
288,0.268252547,0.47667486,16847.02727,5000
289,0.909374514,0.92834548,764.0850724,1076
290,0.362621537,0.451665961,13807.13163,862
291,0.461229395,0.772396001,779.7598687,3497
292,1.138243268,1.136388881,225.2020298,374
293,0.407149694,0.493960541,4454.660466,2563
294,0.949343266,0.650566144,7963.194845,2496
295,0.509084787,0.508225258,1843.729101,3603
296,0.743661434,0.78249484,1803.596888,518
297,1.526062715,1.385726783,31.70514947,548
298,0.88309019,0.84761474,22627.62602,2174
299,0.518579724,0.605193653,7377.796638,4383
300,0.425501046,0.307700337,6441.98407,3556
301,NA,NA,9805.460716,2280
302,0.388708354,0.344184679,7032.196642,1767
303,0.44795372,0.378291743,2456.945507,3513
304,0.445421187,0.517808944,2564.760195,2200
305,0.62581379,0.504903036,1293.259531,4587
306,0.80867023,0.77315655,742.286878,4038
307,0.643492636,NA,4224.069816,2577
308,1.096394933,1.227533563,75.28903679,4878
309,0.963737225,1.085623229,231.8653178,4745
310,0.309222982,0.304625016,3609.526034,1558
311,0.023601815,0.074858128,7389.643345,685
312,0.417899182,0.337279439,3946.647625,2611
313,0.322675846,0.328029391,2750.681931,3030
314,0.478335928,0.449196055,2069.698798,146
315,0.460712241,0.521070232,1214.573646,3178
316,0.366700888,0.363639808,4285.318971,4317
317,1.107289243,1.07390332,50.03081853,2963
318,0.228208869,0.218866546,2369.758095,1237
319,0.238277164,0.000570164,23520.67343,674
320,0.303744928,0.34666862,2581.264238,4570
321,0.744684588,0.738171828,6694.620301,2411
322,0.653171192,0.833148464,1929.168175,3632
323,0.541377844,0.563534214,1532.6008,1729
324,0.55224581,0.602426954,5463.233819,1474
